"k","yp_id","nara_comp_raw_f9","nara_acc_raw_f9","read_word_raw_f9","read_nonw_raw_f9","wold_comp_raw_f8","age_m_f8","age_m_f9"
"4","ALSPAC1346",10,75,5,1,9,101,114
"1","ALSPAC1347",19,55,8,7,8,102,115
"5","ALSPAC1348",12,40,8,10,5,111,125
"4","ALSPAC1349",31,64,6,1,12,97,121
"2","ALSPAC1350",40,32,8,7,10,104,118
"4","ALSPAC1351",21,60,5,5,13,106,121
"2","ALSPAC1352",38,12,9,10,13,101,117
"4","ALSPAC1353",9,92,3,-1,10,103,117
"5","ALSPAC1354",14,49,8,5,NA,100,115
"4","ALSPAC1355",25,72,4,0,11,102,115
"4","ALSPAC1356",17,77,6,2,13,104,107
"1","ALSPAC1357",35,41,10,9,14,110,117
"4","ALSPAC1358",26,81,3,2,16,96,122
"1","ALSPAC1359",47,48,7,7,13,105,123
"4","ALSPAC1360",15,75,4,1,11,99,122
"2","ALSPAC1361",37,17,9,8,14,106,117
"1","ALSPAC1362",11,54,7,7,5,100,120
"4","ALSPAC1363",28,69,9,3,12,102,121
"2","ALSPAC1364",35,13,8,9,12,109,116
"1","ALSPAC1365",54,26,10,9,13,101,120
"1","ALSPAC1366",22,48,8,7,13,100,121
"4","ALSPAC1367",20,84,6,1,14,97,119
"4","ALSPAC1368",7,95,1,-1,8,106,122
"5","ALSPAC1369",14,27,10,8,3,104,126
"1","ALSPAC1370",29,48,8,7,9,105,121
"4","ALSPAC1371",14,66,8,5,13,105,123
"4","ALSPAC1372",23,74,6,2,13,109,119
"2","ALSPAC1373",34,30,9,9,12,100,118
"5","ALSPAC1374",3,41,11,12,2,103,113
"4","ALSPAC1375",21,65,5,0,11,100,121
"5","ALSPAC1376",2,83,3,4,-1,105,115
"4","ALSPAC1377",19,77,4,0,10,97,114
"1","ALSPAC1378",30,68,7,6,7,101,120
"1","ALSPAC1379",32,66,6,6,11,101,119
"1","ALSPAC1380",19,45,7,5,5,99,125
"1","ALSPAC1381",18,61,8,6,8,102,117
"1","ALSPAC1382",32,57,7,6,12,108,125
"4","ALSPAC1383",23,57,5,0,10,102,116
"2","ALSPAC1384",39,11,9,9,13,106,119
"2","ALSPAC1385",40,31,9,10,12,109,119
"4","ALSPAC1386",5,81,4,3,14,98,122
"1","ALSPAC1387",23,61,9,6,NA,100,116
"1","ALSPAC1388",8,54,7,6,7,104,124
"5","ALSPAC1389",5,47,9,9,2,105,120
"2","ALSPAC1390",43,13,9,9,11,104,122
"1","ALSPAC1391",17,66,8,6,10,99,122
"1","ALSPAC1392",34,47,8,8,10,108,125
"2","ALSPAC1393",39,21,9,9,14,101,119
"2","ALSPAC1394",36,29,9,10,12,104,114
"1","ALSPAC1395",16,64,7,6,9,105,122
"1","ALSPAC1396",22,54,8,8,12,98,114
"1","ALSPAC1397",24,67,9,7,10,107,124
"1","ALSPAC1398",27,55,8,6,9,100,116
"4","ALSPAC1399",31,56,5,4,12,96,115
"3","ALSPAC1400",13,63,7,5,5,104,119
"1","ALSPAC1401",26,45,7,7,6,104,121
"1","ALSPAC1402",3,66,7,7,4,110,109
"4","ALSPAC1403",15,68,6,1,11,108,122
"5","ALSPAC1404",8,51,8,9,5,110,119
"3","ALSPAC1405",10,99,4,2,9,101,118
"4","ALSPAC1406",25,70,7,6,17,104,120
"1","ALSPAC1407",34,61,6,7,15,108,114
"1","ALSPAC1408",40,52,8,6,10,101,125
"1","ALSPAC1409",40,47,9,9,9,102,122
"5","ALSPAC1410",12,51,8,9,9,100,119
"3","ALSPAC1411",6,76,3,3,4,106,120
"2","ALSPAC1412",33,30,8,8,11,103,121
"2","ALSPAC1413",46,-2,10,10,14,104,125
"3","ALSPAC1414",22,68,7,3,7,108,120
"5","ALSPAC1415",18,33,11,10,9,109,117
"4","ALSPAC1416",9,98,3,0,14,102,110
"4","ALSPAC1417",16,76,6,4,9,99,119
"4","ALSPAC1418",13,92,3,0,NA,95,120
"1","ALSPAC1419",44,41,9,8,14,105,114
"2","ALSPAC1420",40,21,9,10,12,100,123
"4","ALSPAC1421",25,66,5,1,12,102,120
"1","ALSPAC1422",36,64,7,7,13,103,121
"2","ALSPAC1423",35,17,9,9,13,101,121
"4","ALSPAC1424",13,100,5,0,15,104,125
"1","ALSPAC1425",41,36,9,8,13,101,118
"2","ALSPAC1426",33,26,8,8,9,105,122
"4","ALSPAC1427",15,75,5,2,11,101,118
"5","ALSPAC1428",14,57,8,7,4,105,117
"1","ALSPAC1429",22,57,8,9,6,97,115
"1","ALSPAC1430",31,66,9,7,11,105,116
"1","ALSPAC1431",28,56,7,8,12,103,124
"1","ALSPAC1432",12,76,5,5,5,96,122
"5","ALSPAC1433",9,47,7,6,2,107,115
"2","ALSPAC1434",37,21,10,10,12,105,118
"4","ALSPAC1435",16,79,3,0,9,106,116
"4","ALSPAC1436",19,84,3,1,9,104,114
"5","ALSPAC1437",3,70,8,9,3,110,120
"1","ALSPAC1438",29,55,7,6,10,103,115
"1","ALSPAC1439",42,27,10,9,13,98,119
"4","ALSPAC1440",17,73,3,2,10,93,119
"2","ALSPAC1441",32,18,9,10,12,106,114
"2","ALSPAC1442",27,24,8,8,9,99,115
"3","ALSPAC1443",8,72,5,1,5,106,117
"1","ALSPAC1444",19,57,7,7,7,103,116
"3","ALSPAC1445",14,69,7,4,8,102,121
"5","ALSPAC1446",10,66,8,7,3,108,119
"1","ALSPAC1447",21,56,7,6,11,110,121
"1","ALSPAC1448",31,52,8,7,NA,97,120
"3","ALSPAC1449",9,79,0,0,7,100,115
"1","ALSPAC1450",21,40,9,7,5,108,125
"1","ALSPAC1451",28,48,7,8,12,106,116
"4","ALSPAC1452",23,70,4,1,11,99,116
"1","ALSPAC1453",23,55,8,7,8,105,123
"4","ALSPAC1454",24,61,8,4,15,100,122
"1","ALSPAC1455",30,57,6,5,6,103,114
"4","ALSPAC1456",10,81,3,-1,5,106,127
"3","ALSPAC1457",8,78,2,3,11,103,115
"1","ALSPAC1458",42,36,9,10,16,100,114
"1","ALSPAC1459",43,53,8,6,14,103,125
"4","ALSPAC1460",29,68,7,1,15,100,114
"4","ALSPAC1461",14,80,6,1,9,101,119
"4","ALSPAC1462",10,73,2,-1,8,101,119
"3","ALSPAC1463",1,82,7,4,NA,100,116
"4","ALSPAC1464",16,88,4,1,10,101,118
"1","ALSPAC1465",31,52,9,7,7,100,118
"3","ALSPAC1466",8,73,2,5,5,112,117
"3","ALSPAC1467",11,73,4,3,6,95,124
"1","ALSPAC1468",16,70,7,5,3,103,118
"1","ALSPAC1469",39,35,9,7,10,104,123
"1","ALSPAC1470",21,49,7,6,5,92,117
"1","ALSPAC1471",27,50,8,7,8,103,120
"1","ALSPAC1472",21,44,9,7,11,105,119
"5","ALSPAC1473",1,55,6,4,0,103,117
"5","ALSPAC1474",11,56,5,4,7,101,120
"5","ALSPAC1475",1,63,7,4,0,108,119
"1","ALSPAC1476",56,39,9,9,14,105,126
"2","ALSPAC1477",35,15,10,10,14,100,121
"4","ALSPAC1478",14,86,3,2,8,99,116
"1","ALSPAC1479",17,67,7,6,7,101,110
"1","ALSPAC1480",43,39,10,7,17,105,118
"1","ALSPAC1481",13,63,7,5,8,106,119
"5","ALSPAC1482",7,36,7,8,1,105,119
"1","ALSPAC1483",26,58,8,7,14,108,108
"1","ALSPAC1484",47,44,NA,8,NA,104,126
"2","ALSPAC1485",47,23,9,9,14,109,121
"2","ALSPAC1486",40,8,10,10,12,104,122
"4","ALSPAC1487",15,72,4,2,6,109,124
"1","ALSPAC1488",33,41,9,7,9,108,120
"3","ALSPAC1489",7,76,5,4,4,102,123
"1","ALSPAC1490",24,57,7,7,10,101,120
"3","ALSPAC1491",1,84,2,1,-1,97,122
"2","ALSPAC1492",30,19,9,9,10,101,116
"1","ALSPAC1493",34,43,8,7,10,108,116
"1","ALSPAC1494",43,33,8,7,12,108,124
"1","ALSPAC1495",32,42,8,7,10,101,112
"4","ALSPAC1496",22,77,5,0,15,107,121
"1","ALSPAC1497",23,59,NA,7,10,102,119
"1","ALSPAC1498",37,47,8,7,8,109,116
"1","ALSPAC1499",37,38,9,7,NA,101,116
"1","ALSPAC1500",26,41,7,7,6,105,120
"5","ALSPAC1501",6,65,5,4,2,101,117
"4","ALSPAC1502",9,81,-1,-2,9,108,114
"2","ALSPAC1503",29,24,10,9,9,107,113
"1","ALSPAC1504",28,42,9,8,10,106,118
"1","ALSPAC1505",22,52,7,7,7,101,116
"4","ALSPAC1506",24,69,8,4,14,101,119
"4","ALSPAC1507",14,74,3,1,10,111,115
"3","ALSPAC1508",0,84,0,0,9,109,119
"2","ALSPAC1509",43,17,NA,10,12,106,121
"2","ALSPAC1510",43,1,10,9,13,100,113
"3","ALSPAC1511",15,88,4,NA,4,107,114
"1","ALSPAC1512",10,55,9,8,8,103,115
"1","ALSPAC1513",44,34,9,8,18,105,115
"5","ALSPAC1514",17,41,12,9,6,107,115
"1","ALSPAC1515",43,41,7,6,8,103,123
"3","ALSPAC1516",8,86,5,3,4,100,118
"4","ALSPAC1517",22,73,4,4,16,99,121
"4","ALSPAC1518",19,57,5,4,8,97,122
"2","ALSPAC1519",43,9,9,10,13,101,120
"1","ALSPAC1520",16,64,9,5,6,107,117
"1","ALSPAC1521",2,50,7,6,3,100,122
"1","ALSPAC1522",30,64,7,4,8,105,117
"1","ALSPAC1523",27,57,7,6,8,105,124
"1","ALSPAC1524",23,50,8,8,8,101,117
"5","ALSPAC1525",11,37,13,9,4,98,120
"4","ALSPAC1526",21,71,6,1,11,103,115
"4","ALSPAC1527",8,78,4,2,11,105,127
"4","ALSPAC1528",7,80,5,1,6,114,114
"1","ALSPAC1529",35,55,9,7,16,99,120
"4","ALSPAC1530",17,71,5,1,12,98,120
"1","ALSPAC1531",15,62,6,7,12,104,122
"2","ALSPAC1532",38,29,8,9,14,101,124
"4","ALSPAC1533",21,72,7,4,9,103,117
"1","ALSPAC1534",36,47,9,7,9,102,119
"2","ALSPAC1535",39,11,10,9,15,108,121
"5","ALSPAC1536",13,38,6,6,7,103,125
"1","ALSPAC1537",36,46,7,6,12,110,122
"5","ALSPAC1538",12,48,9,10,6,109,118
"1","ALSPAC1539",38,47,9,8,16,105,119
"3","ALSPAC1540",15,74,1,0,4,96,121
"1","ALSPAC1541",29,56,8,8,10,100,129
"3","ALSPAC1542",4,82,2,-1,6,107,114
"2","ALSPAC1543",43,31,9,8,12,109,109
"1","ALSPAC1544",28,55,9,8,6,104,118
"1","ALSPAC1545",25,42,10,8,NA,101,117
"2","ALSPAC1546",31,30,8,7,7,104,115
"1","ALSPAC1547",8,64,8,6,9,101,128
"3","ALSPAC1548",12,97,5,5,9,110,118
"1","ALSPAC1549",30,72,7,5,13,102,122
"1","ALSPAC1550",12,62,7,6,8,110,126
"2","ALSPAC1551",38,9,9,10,12,106,120
"4","ALSPAC1552",12,86,3,1,11,105,121
"4","ALSPAC1553",9,87,3,3,11,107,122
"1","ALSPAC1554",38,47,10,9,12,104,117
"5","ALSPAC1555",19,24,12,10,6,102,115
"5","ALSPAC1556",4,60,7,4,-1,105,120
"1","ALSPAC1557",13,57,8,7,6,108,121
"3","ALSPAC1558",11,75,3,4,7,97,121
"1","ALSPAC1559",24,74,6,6,11,98,124
"3","ALSPAC1560",22,73,6,4,7,103,121
"4","ALSPAC1561",20,82,7,3,14,108,116
"1","ALSPAC1562",24,50,8,8,9,111,128
"1","ALSPAC1563",44,50,8,7,15,105,120
"5","ALSPAC1564",15,35,9,8,7,98,122
"4","ALSPAC1565",26,48,10,7,13,109,124
"1","ALSPAC1566",23,55,8,7,10,101,118
"1","ALSPAC1567",28,41,8,6,9,106,122
"5","ALSPAC1568",9,33,10,9,1,105,110
"1","ALSPAC1569",11,54,7,7,5,105,114
"2","ALSPAC1570",38,17,10,9,15,103,121
"4","ALSPAC1571",14,84,4,2,11,102,126
"2","ALSPAC1572",47,11,10,10,NA,107,120
"4","ALSPAC1573",21,66,6,4,12,103,123
"3","ALSPAC1574",8,81,5,1,7,104,126
"1","ALSPAC1575",43,44,9,NA,12,114,117
"2","ALSPAC1576",35,18,10,10,NA,109,115
"1","ALSPAC1577",17,71,7,6,6,106,116
"2","ALSPAC1578",32,29,10,10,NA,100,120
"5","ALSPAC1579",14,52,8,9,6,104,118
"2","ALSPAC1580",32,28,10,10,9,106,123
"1","ALSPAC1581",24,35,10,8,9,103,124
"1","ALSPAC1582",43,57,8,7,15,108,116
"2","ALSPAC1583",34,12,10,9,12,96,115
"1","ALSPAC1584",9,70,7,6,12,112,118
"5","ALSPAC1585",16,40,8,9,9,99,127
"1","ALSPAC1586",19,60,6,6,7,108,124
"4","ALSPAC1587",29,54,7,5,16,97,119
"1","ALSPAC1588",26,64,9,8,11,103,116
"5","ALSPAC1589",12,34,8,9,3,106,128
"1","ALSPAC1590",24,44,9,7,NA,108,116
"1","ALSPAC1591",24,53,8,8,8,105,120
"1","ALSPAC1592",45,28,9,NA,10,107,119
"2","ALSPAC1593",45,0,10,11,15,99,122
"4","ALSPAC1594",20,86,4,2,8,104,119
"4","ALSPAC1595",22,65,7,6,15,104,122
"3","ALSPAC1596",11,79,2,3,8,107,120
"5","ALSPAC1597",6,50,10,7,4,107,120
"1","ALSPAC1598",28,41,9,7,5,106,120
"1","ALSPAC1599",37,65,7,6,9,108,116
"1","ALSPAC1600",38,64,7,6,10,100,119
"1","ALSPAC1601",44,52,8,8,13,91,121
"4","ALSPAC1602",25,74,5,3,10,101,121
"4","ALSPAC1603",30,63,4,1,13,97,118
"2","ALSPAC1604",39,26,8,7,10,108,118
"2","ALSPAC1605",30,11,10,12,11,106,123
"4","ALSPAC1606",22,61,8,2,13,103,115
"1","ALSPAC1607",47,30,10,8,11,109,117
"3","ALSPAC1608",15,63,5,3,9,112,113
"1","ALSPAC1609",43,41,8,9,NA,103,115
"5","ALSPAC1610",18,32,9,9,6,98,117
"4","ALSPAC1611",17,79,5,4,12,106,117
"5","ALSPAC1612",6,65,5,3,6,104,120
"5","ALSPAC1613",7,45,14,11,2,105,121
"2","ALSPAC1614",33,23,9,10,9,105,123
"1","ALSPAC1615",19,49,7,6,12,103,118
"4","ALSPAC1616",3,96,4,0,7,106,121
"1","ALSPAC1617",29,48,9,7,6,93,120
"3","ALSPAC1618",17,74,5,3,12,102,125
"4","ALSPAC1619",15,89,4,-1,9,109,120
"2","ALSPAC1620",36,21,10,11,11,101,113
"2","ALSPAC1621",34,17,9,9,10,102,118
"2","ALSPAC1622",38,27,7,8,9,102,124
"2","ALSPAC1623",37,28,10,10,10,100,116
"1","ALSPAC1624",36,48,8,9,9,102,126
"4","ALSPAC1625",15,73,6,0,16,107,120
"3","ALSPAC1626",10,83,NA,6,7,108,121
"2","ALSPAC1627",39,24,10,10,12,106,116
"4","ALSPAC1628",21,69,6,5,12,102,122
"4","ALSPAC1629",12,55,7,4,7,107,121
"3","ALSPAC1630",5,80,5,4,4,101,120
"1","ALSPAC1631",41,53,8,8,16,108,118
"2","ALSPAC1632",35,33,8,8,11,102,123
"4","ALSPAC1633",16,74,5,4,11,103,124
"1","ALSPAC1634",29,54,8,6,12,99,122
"2","ALSPAC1635",41,16,10,10,11,105,123
"4","ALSPAC1636",18,62,6,4,13,99,113
"2","ALSPAC1637",38,24,9,9,12,103,118
"1","ALSPAC1638",40,37,9,7,11,107,114
"1","ALSPAC1639",25,50,8,7,9,94,122
"5","ALSPAC1640",9,54,10,10,2,109,119
"3","ALSPAC1641",10,74,4,5,7,95,123
"2","ALSPAC1642",37,14,10,10,15,97,122
"2","ALSPAC1643",40,24,9,9,15,107,121
"1","ALSPAC1644",36,38,8,7,10,101,123
"1","ALSPAC1645",30,47,8,7,7,104,117
"4","ALSPAC1646",18,75,4,1,17,100,113
"1","ALSPAC1647",30,58,8,6,7,100,128
"1","ALSPAC1648",27,50,8,7,7,105,121
"1","ALSPAC1649",37,55,7,6,12,107,117
"1","ALSPAC1650",27,56,6,NA,10,105,111
"2","ALSPAC1651",36,30,7,8,12,106,118
"1","ALSPAC1652",33,44,8,8,12,100,123
"1","ALSPAC1653",36,56,8,7,12,102,113
"1","ALSPAC1654",28,40,7,8,7,100,114
"1","ALSPAC1655",28,53,8,7,9,106,117
"2","ALSPAC1656",39,10,10,10,9,103,114
"3","ALSPAC1657",17,77,4,3,7,104,121
"2","ALSPAC1658",49,7,9,9,14,101,118
"1","ALSPAC1659",24,55,9,7,8,107,116
"3","ALSPAC1660",4,91,1,0,10,104,118
"1","ALSPAC1661",27,61,7,7,10,111,115
"1","ALSPAC1662",16,52,9,8,10,100,129
"5","ALSPAC1663",7,27,12,11,-3,95,119
"1","ALSPAC1664",32,40,8,7,8,105,124
"2","ALSPAC1665",32,21,9,9,12,107,116
"2","ALSPAC1666",48,18,9,9,16,100,113
"4","ALSPAC1667",19,66,7,1,NA,103,122
"1","ALSPAC1668",24,52,8,6,11,100,117
"1","ALSPAC1669",21,64,7,6,9,110,116
"2","ALSPAC1670",42,13,8,9,13,96,122
"2","ALSPAC1671",37,28,9,9,9,106,119
"2","ALSPAC1672",48,17,10,10,16,105,125
"1","ALSPAC1673",11,74,6,4,4,105,124
"4","ALSPAC1674",27,67,4,2,11,100,124
"1","ALSPAC1675",31,46,8,7,8,96,121
"2","ALSPAC1676",39,12,9,9,14,105,121
"1","ALSPAC1677",12,53,7,7,8,104,123
"1","ALSPAC1678",22,68,8,6,10,100,114
"1","ALSPAC1679",32,45,8,8,12,103,128
"4","ALSPAC1680",25,82,5,1,14,95,119
"2","ALSPAC1681",44,9,9,9,13,104,118
"4","ALSPAC1682",24,57,7,3,13,103,112
"1","ALSPAC1683",21,48,7,6,10,104,122
"5","ALSPAC1684",3,68,6,6,4,94,116
"4","ALSPAC1685",6,85,4,0,8,110,117
"1","ALSPAC1686",32,39,10,7,9,97,117
"4","ALSPAC1687",25,60,9,6,14,102,120
"5","ALSPAC1688",9,64,7,5,3,105,125
"4","ALSPAC1689",18,68,5,4,13,101,119
"2","ALSPAC1690",34,18,9,10,NA,98,110
"1","ALSPAC1691",43,48,8,8,11,103,123
"5","ALSPAC1692",15,52,8,7,9,104,118
"5","ALSPAC1693",16,41,8,8,6,95,117
"1","ALSPAC1694",30,61,8,8,14,103,119
"1","ALSPAC1695",35,40,8,7,9,106,116
"1","ALSPAC1696",28,49,8,8,13,105,116
"4","ALSPAC1697",14,62,7,5,11,101,119
"4","ALSPAC1698",18,73,2,0,8,109,121
"4","ALSPAC1699",6,87,3,1,4,106,124
"1","ALSPAC1700",29,61,8,7,14,99,115
"5","ALSPAC1701",10,53,7,8,5,104,124
"1","ALSPAC1702",35,49,9,7,12,102,124
"3","ALSPAC1703",18,83,4,2,9,103,119
"1","ALSPAC1704",27,52,8,9,10,95,117
"2","ALSPAC1705",39,22,9,9,11,97,113
"4","ALSPAC1706",18,62,5,3,10,111,118
"3","ALSPAC1707",13,82,4,1,12,106,119
"1","ALSPAC1708",37,44,8,6,11,106,112
"1","ALSPAC1709",36,57,8,7,9,101,115
"1","ALSPAC1710",39,48,8,8,12,103,127
"3","ALSPAC1711",13,100,-1,2,9,104,116
"1","ALSPAC1712",43,37,9,8,12,103,116
"1","ALSPAC1713",37,52,8,8,12,108,115
"4","ALSPAC1714",11,79,2,2,9,104,114
"4","ALSPAC1715",16,66,7,2,7,103,116
"4","ALSPAC1716",18,64,7,3,11,104,122
"3","ALSPAC1717",11,80,5,4,4,106,122
"1","ALSPAC1718",30,52,9,8,8,95,119
"1","ALSPAC1719",28,59,9,6,6,101,120
"3","ALSPAC1720",20,61,8,4,9,103,122
"1","ALSPAC1721",31,45,9,8,9,93,114
"2","ALSPAC1722",31,18,9,9,14,110,121
"1","ALSPAC1723",21,39,8,7,10,106,120
"2","ALSPAC1724",41,-3,10,10,10,107,124
"4","ALSPAC1725",27,68,6,3,15,102,121
"1","ALSPAC1726",36,41,8,6,12,105,117
"1","ALSPAC1727",20,64,7,6,6,108,117
"2","ALSPAC1728",31,39,8,9,14,106,117
"1","ALSPAC1729",19,66,7,6,4,101,125
"5","ALSPAC1730",23,28,14,10,NA,111,122
"5","ALSPAC1731",12,43,12,8,10,109,116
"1","ALSPAC1732",15,67,5,6,8,105,114
"4","ALSPAC1733",18,80,5,3,14,104,119
"1","ALSPAC1734",30,41,7,7,12,101,121
"4","ALSPAC1735",23,83,6,3,14,109,126
"3","ALSPAC1736",22,70,3,2,6,104,116
"3","ALSPAC1737",10,71,4,5,9,98,121
"3","ALSPAC1738",5,71,6,6,7,103,131
"4","ALSPAC1739",30,67,7,2,18,94,116
"1","ALSPAC1740",35,55,7,6,11,112,117
"1","ALSPAC1741",28,48,9,6,5,109,117
"3","ALSPAC1742",2,82,7,4,0,103,122
"1","ALSPAC1743",34,55,6,6,10,105,118
"1","ALSPAC1744",28,54,8,6,12,102,122
"4","ALSPAC1745",17,88,5,0,9,97,127
"1","ALSPAC1746",27,34,8,8,9,108,125
"4","ALSPAC1747",24,81,4,-1,17,100,119
"2","ALSPAC1748",39,26,9,9,10,98,125
"4","ALSPAC1749",22,77,3,-1,12,99,118
"2","ALSPAC1750",46,24,10,11,16,102,117
"1","ALSPAC1751",21,63,8,8,NA,102,110
"5","ALSPAC1752",8,61,8,8,8,102,120
"5","ALSPAC1753",20,26,7,8,7,100,121
"4","ALSPAC1754",13,92,4,0,NA,111,112
"3","ALSPAC1755",10,86,6,1,9,103,124
"1","ALSPAC1756",20,75,8,6,NA,103,126
"1","ALSPAC1757",32,39,8,7,12,104,118
"1","ALSPAC1758",27,52,7,7,12,106,121
"5","ALSPAC1759",2,69,5,6,3,106,111
"2","ALSPAC1760",44,11,8,8,14,98,118
"1","ALSPAC1761",29,53,8,7,6,105,123
"1","ALSPAC1762",23,64,8,7,8,108,120
"1","ALSPAC1763",30,43,9,6,7,97,118
"1","ALSPAC1764",20,65,8,7,13,107,112
"1","ALSPAC1765",23,43,9,8,5,98,118
"1","ALSPAC1766",39,32,9,8,10,113,123
"1","ALSPAC1767",30,53,8,7,10,107,127
"3","ALSPAC1768",6,95,1,1,8,106,117
"3","ALSPAC1769",10,79,4,4,6,105,119
"1","ALSPAC1770",49,43,8,7,17,101,111
"1","ALSPAC1771",45,37,9,7,11,106,120
"5","ALSPAC1772",2,53,6,8,4,100,122
"1","ALSPAC1773",43,44,9,7,7,99,124
"1","ALSPAC1774",25,44,8,8,8,101,111
"5","ALSPAC1775",13,39,12,13,3,100,116
"1","ALSPAC1776",45,49,8,7,15,99,121
"1","ALSPAC1777",23,58,9,7,10,105,116
"2","ALSPAC1778",41,14,10,10,11,103,121
"3","ALSPAC1779",24,87,3,3,12,104,117
"1","ALSPAC1780",42,32,10,9,10,100,122
"5","ALSPAC1781",-1,38,8,7,0,100,116
"1","ALSPAC1782",15,66,7,5,0,96,118
"1","ALSPAC1783",19,66,8,6,11,111,123
"4","ALSPAC1784",1,94,3,0,4,103,116
"4","ALSPAC1785",22,72,6,1,13,108,117
"1","ALSPAC1786",40,47,8,7,16,99,118
"1","ALSPAC1787",43,43,9,8,NA,103,124
"3","ALSPAC1788",19,75,5,4,11,102,120
"3","ALSPAC1789",22,72,6,4,12,105,120
"1","ALSPAC1790",40,55,8,7,13,114,115
"4","ALSPAC1791",22,77,5,2,14,99,128
"1","ALSPAC1792",49,46,10,9,13,109,112
"1","ALSPAC1793",15,53,6,6,6,99,119
"5","ALSPAC1794",6,44,9,8,2,100,113
"5","ALSPAC1795",4,47,9,9,2,105,111
"2","ALSPAC1796",42,8,10,10,13,106,118
"1","ALSPAC1797",22,55,7,6,8,105,120
"2","ALSPAC1798",36,27,8,8,11,104,120
"1","ALSPAC1799",19,48,7,7,NA,102,119
"1","ALSPAC1800",16,56,7,7,9,108,114
"1","ALSPAC1801",30,48,9,8,10,103,122
"1","ALSPAC1802",27,58,7,7,10,98,118
"5","ALSPAC1803",15,44,10,8,8,102,124
"3","ALSPAC1804",16,84,4,2,9,107,119
"1","ALSPAC1805",34,58,6,6,11,109,118
"4","ALSPAC1806",24,70,6,0,17,105,123
"2","ALSPAC1807",39,17,11,9,12,104,123
"3","ALSPAC1808",14,75,6,4,6,103,121
"1","ALSPAC1809",21,52,7,6,10,101,125
"1","ALSPAC1810",32,40,8,7,10,104,119
"3","ALSPAC1811",2,89,0,2,6,105,116
"4","ALSPAC1812",12,92,3,2,5,99,124
"1","ALSPAC1813",30,46,8,8,NA,108,114
"1","ALSPAC1814",55,28,9,8,14,105,119
"2","ALSPAC1815",33,36,9,8,14,108,126
"1","ALSPAC1816",26,45,10,9,17,104,120
"1","ALSPAC1817",26,49,10,8,8,96,119
"2","ALSPAC1818",42,12,9,10,14,108,121
"5","ALSPAC1819",10,56,7,6,-1,111,120
"1","ALSPAC1820",12,56,8,6,7,105,120
"2","ALSPAC1821",47,0,10,9,NA,101,119
"3","ALSPAC1822",11,72,6,4,9,98,118
"2","ALSPAC1823",41,0,10,11,12,96,123
"1","ALSPAC1824",27,59,7,6,7,102,117
"1","ALSPAC1825",33,46,8,8,12,106,118
"3","ALSPAC1826",11,81,2,1,5,110,118
"5","ALSPAC1827",11,47,6,6,5,110,113
"3","ALSPAC1828",13,74,8,5,12,104,116
"1","ALSPAC1829",17,55,8,7,8,104,117
"3","ALSPAC1830",4,72,3,1,6,104,117
"1","ALSPAC1831",46,41,9,6,10,105,122
"4","ALSPAC1832",30,71,2,0,16,98,116
"4","ALSPAC1833",17,79,5,1,15,101,118
"4","ALSPAC1834",20,64,5,1,14,106,119
"2","ALSPAC1835",30,20,8,8,6,104,125
"4","ALSPAC1836",18,80,3,2,11,98,114
"5","ALSPAC1837",11,46,10,5,1,103,123
"1","ALSPAC1838",40,39,7,7,14,104,120
"1","ALSPAC1839",24,44,9,7,8,107,125
"1","ALSPAC1840",28,44,9,8,7,106,117
"2","ALSPAC1841",40,10,10,10,14,107,124
"2","ALSPAC1842",43,8,8,8,12,102,128
"4","ALSPAC1843",20,77,4,4,14,106,119
"1","ALSPAC1844",26,51,8,7,7,104,120
"4","ALSPAC1845",15,69,5,1,11,98,117
"2","ALSPAC1846",36,22,10,10,11,103,121
"1","ALSPAC1847",25,61,6,6,6,97,117
"2","ALSPAC1848",42,20,8,8,13,104,117
"4","ALSPAC1849",20,70,7,3,13,107,114
"1","ALSPAC1850",26,46,8,7,7,107,122
"4","ALSPAC1851",14,73,6,3,13,104,121
"4","ALSPAC1852",21,79,6,3,11,108,126
"4","ALSPAC1853",12,68,4,1,6,110,120
"1","ALSPAC1854",31,69,7,6,7,101,115
"2","ALSPAC1855",46,21,8,9,16,100,126
"1","ALSPAC1856",40,46,8,7,10,100,116
"1","ALSPAC1857",19,47,7,8,5,103,122
"1","ALSPAC1858",27,48,7,7,8,104,112
"1","ALSPAC1859",16,63,8,8,6,107,126
"1","ALSPAC1860",35,51,8,5,NA,107,118
"5","ALSPAC1861",9,48,6,9,7,102,122
"2","ALSPAC1862",37,13,10,9,10,106,118
"2","ALSPAC1863",25,32,8,9,12,109,119
"2","ALSPAC1864",40,14,9,9,11,98,120
"1","ALSPAC1865",33,35,8,8,14,99,126
"2","ALSPAC1866",37,34,9,9,11,103,119
"2","ALSPAC1867",41,4,11,10,15,109,115
"5","ALSPAC1868",9,65,6,5,3,102,118
"2","ALSPAC1869",41,14,10,9,12,98,125
"2","ALSPAC1870",38,26,10,11,11,102,120
"4","ALSPAC1871",25,83,4,1,12,101,124
"4","ALSPAC1872",20,82,7,4,15,109,114
"3","ALSPAC1873",11,92,2,2,10,103,109
"1","ALSPAC1874",29,55,8,8,7,102,116
"5","ALSPAC1875",8,52,7,3,4,100,122
"1","ALSPAC1876",38,53,8,8,9,102,126
"4","ALSPAC1877",29,79,5,2,15,106,120
"5","ALSPAC1878",17,52,9,9,6,107,125
